GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_MOE_VC09,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over
HC02_EST_VC09,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over
HC02_MOE_VC09,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over
HC03_EST_VC09,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC03_MOE_VC09,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC04_EST_VC09,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC04_MOE_VC09,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC05_EST_VC09,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC05_MOE_VC09,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC06_EST_VC09,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC06_MOE_VC09,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over"
HC01_EST_VC10,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
HC01_MOE_VC10,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
HC02_EST_VC10,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
HC02_MOE_VC10,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages
HC03_EST_VC10,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC03_MOE_VC10,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC04_EST_VC10,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC04_MOE_VC10,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC05_EST_VC10,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC05_MOE_VC10,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC06_EST_VC10,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC06_MOE_VC10,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages"
HC01_EST_VC11,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old
HC01_MOE_VC11,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old
HC02_EST_VC11,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old
HC02_MOE_VC11,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old
HC03_EST_VC11,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC03_MOE_VC11,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC04_EST_VC11,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC04_MOE_VC11,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC05_EST_VC11,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC05_MOE_VC11,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC06_EST_VC11,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC06_MOE_VC11,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5 to 17 years old"
HC01_EST_VC12,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old
HC01_MOE_VC12,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old
HC02_EST_VC12,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old
HC02_MOE_VC12,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old
HC03_EST_VC12,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC03_MOE_VC12,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC04_EST_VC12,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC04_MOE_VC12,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC05_EST_VC12,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC05_MOE_VC12,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC06_EST_VC12,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC06_MOE_VC12,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18 to 64 years old"
HC01_EST_VC13,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over
HC01_MOE_VC13,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over
HC02_EST_VC13,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over
HC02_MOE_VC13,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over
HC03_EST_VC13,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC03_MOE_VC13,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC04_EST_VC13,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC04_MOE_VC13,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC05_EST_VC13,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC05_MOE_VC13,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC06_EST_VC13,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC06_MOE_VC13,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years old and over"
HC01_EST_VC14,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC01_MOE_VC14,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC02_EST_VC14,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC02_MOE_VC14,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages
HC03_EST_VC14,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC03_MOE_VC14,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC04_EST_VC14,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC04_MOE_VC14,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC05_EST_VC14,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC05_MOE_VC14,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC06_EST_VC14,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC06_MOE_VC14,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages"
HC01_EST_VC15,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old
HC01_MOE_VC15,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old
HC02_EST_VC15,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old
HC02_MOE_VC15,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old
HC03_EST_VC15,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC03_MOE_VC15,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC04_EST_VC15,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC04_MOE_VC15,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC05_EST_VC15,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC05_MOE_VC15,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC06_EST_VC15,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC06_MOE_VC15,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5 to 17 years old"
HC01_EST_VC16,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old
HC01_MOE_VC16,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old
HC02_EST_VC16,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old
HC02_MOE_VC16,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old
HC03_EST_VC16,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC03_MOE_VC16,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC04_EST_VC16,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC04_MOE_VC16,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC05_EST_VC16,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC05_MOE_VC16,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC06_EST_VC16,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC06_MOE_VC16,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18 to 64 years old"
HC01_EST_VC17,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over
HC01_MOE_VC17,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over
HC02_EST_VC17,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over
HC02_MOE_VC17,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over
HC03_EST_VC17,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC03_MOE_VC17,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC04_EST_VC17,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC04_MOE_VC17,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC05_EST_VC17,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC05_MOE_VC17,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC06_EST_VC17,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC06_MOE_VC17,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years old and over"
HC01_EST_VC18,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC01_MOE_VC18,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC02_EST_VC18,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC02_MOE_VC18,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages
HC03_EST_VC18,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC03_MOE_VC18,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC04_EST_VC18,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
HC04_MOE_VC18,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages"
