item_date_published,date,item_title,item_description,item_link
2018-09-27T09:54:10Z,2018-09-27,Today’s Hearing: Trial or Job Interview?,"<p>The Senate Judiciary Committee opens its hearing into allegations against Judge Brett M. Kavanaugh today. At stake for both parties is the swing seat on an ideologically divided Supreme Court in the thick of an election battle for control of Congress. Here’s a preview of each side’s plan for the hearing. Guests: Peter Baker, who covers the White House for The New York Times, and Sheryl Gay Stolberg, who covers Congress. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-26T09:56:02Z,2018-09-26,Revisiting What Happened to Anita Hill,"<p>Twenty-seven years ago, the Senate Judiciary Committee questioned Anita F. Hill, a law professor, and Judge Clarence Thomas, the Supreme Court nominee she accused of sexual harassment. We look at how those events are shaping the confirmation hearings for Judge Brett M. Kavanaugh. Guest: Kate Zernike, who covers politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-25T09:51:44Z,2018-09-25,The Conservative Divide Over Kavanaugh,"<p>Conservatives have been deeply split about how to respond to allegations of sexual assault against Judge Brett M. Kavanaugh. That’s now starting to change. Guest: Ross Douthat, an Opinion columnist for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-24T09:52:51Z,2018-09-24,Rod Rosenstein’s Insurrection,"<p>Days after being named deputy attorney general, Rod Rosenstein was so alarmed by what he was seeing inside the White House that he proposed a series of extreme measures. Will those proposals now cost him his job? Guest: Michael S. Schmidt, who covers national security for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-21T09:59:13Z,2018-09-21,10 Years After the Financial Crisis,"<p>A decade ago, U.S. policymakers hatched a plan to rescue a financial system in free fall. Their solution solved that crisis — but deepened another. Guest: Andrew Ross Sorkin, a financial columnist for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-20T09:57:49Z,2018-09-20,A High School Assault,"<p>The accusation against Judge Brett M. Kavanaugh has set off a national debate about how to address decades-old allegations of sexual aggression by a teenager. Here is one woman’s perspective. Guest: Caitlin Flanagan, who wrote about her experience of sexual assault in The Atlantic. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p><p>This episode contains descriptions of sexual assault.</p>",NA
2018-09-19T09:52:06Z,2018-09-19,Will Dr. Blasey Testify?,"<p>Christine Blasey Ford, who has accused Judge Brett M. Kavanaugh of sexual assault, has said she wants the F.B.I. to investigate her claims. We look at what that means for the Supreme Court confirmation process. Guest: Peter Baker, who covers the White House for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-18T09:54:01Z,2018-09-18,The Accusation Against Brett Kavanaugh,"<p>Days before Judge Brett M. Kavanaugh was expected to receive a lifetime appointment to the country’s highest court, a woman has come forward with allegations that could derail his confirmation. He denies the claims, and both are now scheduled to testify. Guest: Sheryl Gay Stolberg, who covers Congress for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-17T09:54:00Z,2018-09-17,A Dispatch From the Center of the Storm,"<p>North Carolina is facing a statewide crisis as the storm known as Florence slowly ravages the South, flooding cities, sending thousands into shelters and endangering communities from the coast to the mountains. Here’s what’s happening in one of those communities. Guest: Richard Fausset, a correspondent for The New York Times who has been covering the storm from North Carolina. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-14T09:59:21Z,2018-09-14,"Lost in the Storm, Part 2","<p>Even as floodwaters caused by Hurricane Harvey began to recede, Wayne Dailey was pleading with emergency services to send someone to rescue his wife. Guests: Annie Brown, a producer for The Daily, speaks with Wayne Dailey, who sought urgent medical care for his wife during Hurricane Harvey, and Sheri Fink, who reported this story for The New York Times Magazine. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-13T09:50:37Z,2018-09-13,"Lost in the Storm, Part 1","<p>One year ago, Houston thought it was prepared for Hurricane Harvey. As another major hurricane approaches the U.S., we look at how flooding overwhelmed Houston’s emergency systems, and how one family found out that they were on their own. Guests: Annie Brown, a producer for The Daily, speaks with Wayne Dailey, who sought urgent medical care for his wife during Hurricane Harvey, and Sheri Fink, who reported this story for The New York Times Magazine. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-12T09:50:54Z,2018-09-12,The Spy Who Provoked Putin,"<p>The attack was brazen and exotic, but the target was a low-level former spy. Why did Russia risk so much in the Sergei Skripal case? Guest: Michael Schwirtz, an investigative reporter for The New York Times who recently returned from covering this story in Moscow. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-11T09:53:17Z,2018-09-11,"Bob Woodward on Trump, Nixon and Anonymity","<p>Bob Woodward’s reporting on the Nixon administration pioneered an approach to journalism that drew from anonymous sources and has been widely used since. He has deployed that form of reporting in his new book to tell the story of the Trump administration. Guests: Mr. Woodward, author of “Fear: Trump in the White House,” speaks with Michael S. Schmidt, a Washington correspondent for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-10T09:54:00Z,2018-09-10,An Interview With George Papadopoulos,"<p>George Papadopoulos, a former campaign aide to President Trump, was sentenced on Friday for deceiving the F.B.I. about his relationship with a person thought to be a Russian operative who had offered to arrange a meeting between Mr. Trump and the Russian president, Vladimir V. Putin. Guest: Mark Mazzetti, a Washington correspondent for The Times, who spoke with Mr. Papadopoulos before his sentencing. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-09-07T09:51:10Z,2018-09-07,The Kavanaugh Documents,"<p>All week, Senate Democrats have furiously protested the decision by Republicans to protect thousands of documents related to Judge Brett M. Kavanaugh, President Trump’s nominee to the Supreme Court. On the third day of his confirmation hearings, that fury came to a head. Guest: Adam Liptak, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-09-06T09:51:09Z,2018-09-06,The Anonymous Senior Administration Official,"<p>The New York Times published an account by an unnamed member of the Trump administration about resistance figures operating inside the government. “I would know,” the official wrote. “I am one of them.” Guest: James Dao, Op-Ed editor for The Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-05T09:50:44Z,2018-09-05,A Chaotic Opening Day for Brett Kavanaugh,"<p>On the first day of Judge Brett Kavanaugh’s Supreme Court confirmation hearings, battle lines were drawn around the issues of abortion, the withholding of documents and executive power. Guest: Adam Liptak, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-04T09:52:39Z,2018-09-04,A 30-Year Plan to Transform the Courts,"<p>Republicans have created a pipeline of conservative lawyers to help carry out a sweeping reconfiguration of the federal judiciary. Guest: Jason Zengerle, a contributing writer for The New York Times Magazine. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-31T09:55:54Z,2018-08-31,When We Almost Stopped Climate Change,"<p>Thirty years ago, the United States had a chance to stop global warming in its tracks. Almost nothing stood in the way — except human resistance. Guests: Rafe Pomerance, an environmentalist who became involved with the climate movement in its earliest days; Nathaniel Rich, who reported on the history of climate politics for The New York Times Magazine. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-30T09:50:05Z,2018-08-30,An Unexpected Upset in Florida,"<p>The Florida governor’s race was supposed to come down to a predictable face-off between the establishment Republican and the establishment Democrat. That’s not what happened. Guest: Patricia Mazzei, Miami bureau chief for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-29T09:50:14Z,2018-08-29,An Execution in Nebraska,"<p>After a 40-year crusade, a state lawmaker succeeded in getting Nebraska to ban the death penalty in 2015. Why, then, did the state execute a prisoner this month? Guests: Nebraska State Senator Ernie Chambers, a longtime opponent of the death penalty, and Mitch Smith, a national reporter for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-28T09:54:41Z,2018-08-28,The War Inside the Catholic Church,"<p>An archbishop has accused Pope Francis of being part of the effort to cover up a sex abuse scandal. What does it mean that the accusation is coming from inside the Roman Catholic Church? Guest: Jason Horowitz, the Rome bureau chief of The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-08-27T09:50:45Z,2018-08-27,The Paradoxes of John McCain,"<p>Senator John McCain was proud of his reputation as a maverick in American politics. Through pivotal moments in his life — as a prisoner of war, a young congressman, a presidential candidate, and, ultimately, an elder statesman — that reputation was both validated and challenged. Guests: Elisabeth Bumiller, the Washington bureau chief for The New York Times; Carl Hulse, The Times’s chief Washington correspondent; Mark Landler, who covers the White House for The Times; and Scott Shane, who writes about national security for The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-25T10:00:16Z,2018-08-25,Special Episode: The Last “Year of the Woman”,"<p>More women are running for office in the 2018 midterm elections than in any other election in American history. “The Daily” speaks to Senator Dianne Feinstein about what this moment shares with 1992, another record-breaking “Year of the Woman.” Guests: Senator Dianne Feinstein, Democrat of California, and Kate Zernike, a political reporter for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-24T09:54:19Z,2018-08-24,"“Divided,” Part 2: The Chaos of Reunification","<p>More than 2,000 children were separated from their parents at the border. After a judge ordered the U.S. government to promptly reunite the families, the government claimed it would be nearly impossible to do so. In Part 2 of our series, we look at why the government could separate families, but not bring them back together. Guest hosts: Annie Correal, who covers New York City for The New York Times, and Caitlin Dickerson, an immigration reporter at The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-23T09:56:03Z,2018-08-23,The Man Who Wrote Mueller’s Rules,"<p>The special counsel, Robert Mueller, has followed a set of rules devised to allow for the investigation of a sitting president. Those rules will now be tested. Guests: Neal Katyal, who drafted the regulations that govern Mr. Mueller’s investigation, and Michael S. Schmidt, who has been covering the special counsel investigation for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-22T09:51:47Z,2018-08-22,Implicating the President,"<p>Michael Cohen, President Trump’s former personal lawyer, pleaded guilty on Tuesday to campaign finance violations — and said Mr. Trump himself had ordered the crimes. Minutes later, Paul Manafort, the former Trump campaign chairman, was convicted of financial fraud in the first trial resulting from the special counsel’s investigation. Guest: Joseph Kahn, the managing editor of The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-21T09:54:33Z,2018-08-21,"“Divided,” Part 1: How Family Separations Started","<p>The policy began in secret. The Trump administration denied such a policy existed. And when it finally acknowledged that migrant children were being separated from their parents at the border, chaos ensued. Only now is the full picture of what happened and why becoming clear. Guest hosts: Annie Correal, who covers New York City for The New York Times, and Caitlin Dickerson, an immigration reporter at The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-20T09:50:33Z,2018-08-20,Robert Mueller’s Unlikely Witness,"<p>The New York Times has found that one of the White House’s own lawyers, Don McGahn, has cooperated extensively in the investigation led by the special counsel, Robert Mueller. And he has shared far more information than the president thought. Guest: Michael S. Schmidt, one of the reporters who broke the story. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-17T09:52:05Z,2018-08-17,Nancy Pelosi’s Dilemma,"<p>Republicans in this year’s elections are casting one person as the symbol of everything that is wrong with the Democratic Party. Many Democrats are also turning on the same figure. Guest: Alexander Burns, who covers national politics for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-16T09:55:21Z,2018-08-16,A Culture of Secrecy That Perpetuated Abuse,"<p>A grand jury report found that Roman Catholic priests had abused more than 1,000 children in Pennsylvania over a period of 70 years. Some church officials say the report reiterates issues that have already been addressed, but details suggest otherwise. Guest: Laurie Goodstein, a national religion correspondent for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p><p>This episode contains descriptions of abuse.</p>",NA
2018-08-15T09:53:26Z,2018-08-15,The Economic Cost of Authoritarian Rule,"<p>Turkey is on the verge of an economic meltdown that could infect the global financial system. We examine how the country’s slide toward authoritarianism helped trigger the crisis. Guest: Jim Tankersley, who covers economic policy for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-14T09:52:37Z,2018-08-14,Unearthing the Truth in Myanmar,"<p>The country is accused of waging a state-sponsored campaign of massacre, rape and arson against Rohingya Muslims. Why, then, did the government allow a New York Times journalist to tour the epicenter of the reported atrocities? Guest: Hannah Beech, the Southeast Asia bureau chief of The New York Times, who recently visited Rakhine State, where many Rohingya Muslims once lived. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-13T09:52:09Z,2018-08-13,A Year of Reckoning in Charlottesville,"<p>One year after white nationalists and counterprotesters clashed in Charlottesville, Va., the violence has long ended and the rest of the country has largely moved on. But the broken city is still struggling to contend with its past. Guest: Farah Stockman, who has been reporting for The New York Times on events in Charlottesville since the clashes. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-10T09:48:38Z,2018-08-10,The Trump Voters We Don't Talk About,"<p>New data is challenging the popular portrait of Trump voters, and shedding light on why those who generally aren’t talked about may determine the outcome of the midterm elections. Guest: Nate Cohn, a domestic correspondent for The Upshot at The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-09T09:51:13Z,2018-08-09,A New Path for Presidential Pardons,"<p>For decades, getting a presidential pardon in the United States required a cumbersome petition process and a long legal review. But those seeking pardons from President Trump are using a very different strategy. Guest: Campbell Robertson, a national correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-08-08T09:56:38Z,2018-08-08,Paul Ryan’s Exit Interview,"<p>Why would the House speaker — and the third most powerful Republican in Washington — walk away at the age of 48? Guest: Mark Leibovich, who recently interviewed Paul Ryan for The New York Times Magazine. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-07T09:52:50Z,2018-08-07,A Scorched-Earth Strategy in Ohio,"<p>Republicans have found themselves unexpectedly scrambling to hold a House seat in a special election in Ohio on Tuesday. The race has become a symbol of what may lie ahead for the party in the midterms. Guest: Alexander Burns, who covers national politics for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-06T09:53:03Z,2018-08-06,The Rise of Michael Avenatti,"<p>How did the lawyer for Stephanie Clifford, the pornographic film actress known as Stormy Daniels, become a household name and the new face of Democratic opposition to President Trump? Guest: Matthew Shaer, who wrote about Mr. Avenatti for The New York Times Magazine. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-03T09:52:53Z,2018-08-03,How Paul Manafort’s Plans Backfired,"<p>The trial of Paul Manafort, a former chairman of the Trump campaign, is the first one to result from charges brought by Robert S. Mueller III, the special counsel overseeing the investigation into Russian election interference. Yet the trial itself, at least on the surface, has little to do with Russia or with President Trump. Guest: Nicholas Confessore, an investigative reporter at The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-08-02T09:51:22Z,2018-08-02,The Strange Case of QAnon,"<p>How did an outlandish conspiracy theory born on the fringes of the internet end up in the spotlight at a rally for President Trump? Guest: Kevin Roose, who writes about technology for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
